package:{"ShipCount":1,"TimeMark":619030,"Ships":[{"SeqNum":1,"Distance":114.25,"Speed":"0.49","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":621245,"Ships":[{"SeqNum":1,"Distance":112.79,"Speed":"0.49","Position":1,"Amplitude":17}]}
package:{"ShipCount":1,"TimeMark":623461,"Ships":[{"SeqNum":1,"Distance":114.25,"Speed":"0.49","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":625677,"Ships":[{"SeqNum":1,"Distance":117.18,"Speed":"0.49","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":627892,"Ships":[{"SeqNum":1,"Distance":117.18,"Speed":"0.49","Position":1,"Amplitude":18}]}
package:{"ShipCount":1,"TimeMark":630108,"Ships":[{"SeqNum":1,"Distance":118.65,"Speed":"0.49","Position":1,"Amplitude":23}]}
package:{"ShipCount":1,"TimeMark":632323,"Ships":[{"SeqNum":1,"Distance":120.11,"Speed":"0.49","Position":1,"Amplitude":29}]}
package:{"ShipCount":1,"TimeMark":634539,"Ships":[{"SeqNum":1,"Distance":121.58,"Speed":"0.49","Position":1,"Amplitude":40}]}
package:{"ShipCount":1,"TimeMark":636755,"Ships":[{"SeqNum":1,"Distance":121.58,"Speed":"0.49","Position":1,"Amplitude":40}]}
package:{"ShipCount":1,"TimeMark":638970,"Ships":[{"SeqNum":1,"Distance":123.04,"Speed":"0.49","Position":1,"Amplitude":27}]}
package:{"ShipCount":1,"TimeMark":641186,"Ships":[{"SeqNum":1,"Distance":123.04,"Speed":"0.49","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":643402,"Ships":[{"SeqNum":1,"Distance":125.97,"Speed":"0.49","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":645617,"Ships":[{"SeqNum":1,"Distance":125.97,"Speed":"0.53","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":647833,"Ships":[{"SeqNum":1,"Distance":127.44,"Speed":"0.53","Position":1,"Amplitude":36}]}
